,PERSONAL BUDGET,,,,,
,,,,,,,
,,,,,SUMMARY,
,,,,,INCOME," $7,257 "
,,,,,SAVINGS GOAL," $1,655 "
,,,,,EXPENSES," $5,359 "
,,,,,,,
,,,,,POTENTIAL SAVINGS, $243 
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,CLICK HERE TO CREATE PERSONAL BUDGET TEMPLATES IN SMARTSHEET,,,,,
,,,,,,,
,PERSONAL BUDGET DATA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,
,INCOME,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Salary/Wages," $5,987.00 ",,,,,,,,,,,," $5,987.00 "
,Interest Income, $200.00 , $50.00 ,,,,,,,,,,, $250.00 
,Dividends, $100.00 ,,,,,,,,,,,, $100.00 
,Refunds/Reimbursements, $55.00 ,,,,,,,,,,,, $55.00 
,Business, $500.00 ,,,,,,,,,,,, $500.00 
,Pension, $300.00 ,,,,,,,,,,,, $300.00 
,Misc, $115.00 ,,,,,,,,,,,, $115.00 
,,,,,,,,,,,,,,,
,TOTAL," $7,257.00 ", $50.00 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $7,307.00 "
,,,,,,,,,,,,,,,
,SAVINGS,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Emergency Fund, $500.00 ,,,,,,,,,,,, $500.00 
,Transfer to Savings, $200.00 ,,,,,,,,,,,, $200.00 
,"Retirement(401K, IRA)", $100.00 ,,,,,,,,,,,, $100.00 
,Investments, $55.00 ,,,,,,,,,,,, $55.00 
,Education, $500.00 ,,,,,,,,,,,, $500.00 
,Other, $300.00 ,,,,,,,,,,,, $300.00 
,,,,,,,,,,,,,,,
,TOTAL," $1,655.00 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $1,655.00 "
,,,,,,,,,,,,,,,
,EXPENSES,,,,,,,,,,,,,
,HOME,,,,,,,,,,,,,
,Mortgage/rent," $2,250.00 ",,,,,,,,,,,," $2,250.00 "
,Home/Rental Insurance, $25.00 ,,,,,,,,,,,, $25.00 
,Electricity, $40.00 ,,,,,,,,,,,, $40.00 
,Gas/Oil, $44.00 ,,,,,,,,,,,, $44.00 
,Water/Sewer/Trash, $20.00 ,,,,,,,,,,,, $20.00 
,Phone, $15.00 ,,,,,,,,,,,, $15.00 
